Price,Address,Bedrooms,Baths,Area
380000,"57 Connolly Avenue, Inchicore, Dublin 8",3,1,
895000,"1 Strand Mews Lea Road Sandymount Dublin 4, Sandymount, Dublin 4",3,3,145
2250000,"4 Cross Avenue Blackrock, Blackrock, Co. Dublin",5,4,278
595000,"53 Lower Drumcondra Road, Drumcondra, Dublin 9",4,,173
355000,"87 Floraville Avenue, Clondalkin, Clondalkin, Dublin 22",3,1,95
325000,"9 Glasnevin Oaks, Glasnevin, Dublin 11",2,,64
195000,"Apartment 2, Tymon Farm, Tymon Lane, Tallaght, Dublin 24",2,2,79
215000,"25 Hunters Hall, Ballycullen, Dublin 16",1,1,59
365000,"68 Larkhill Road, Whitehall, Dublin 9",2,1,61
315000,"6 Saint Patricks Park, Clondalkin, Dublin 22",3,2,
300000,"8 Monastery Heath Square, Clondalkin, Dublin 22",3,3,
270000,"13 Avonbeg Road, Tallaght, Tallaght, Dublin 24",3,1,75
385000,"27 Bessborough Avenue, North Strand, North Strand, Dublin 3",2,1,99
209000,"6 Sherbourne Court, Charlestown Road, Ranelagh, Dublin 6",,1,
560000,"Apartment 110, Milltown Hall, Milltown Avenue, Mount Saint Annes, Milltown, Dublin 6",2,2,90
295000,"16 Castlegrange Row, Clonsilla, Clonee, Dublin 15",2,3,72
424950,"33 Reuben Street, Rialto, Rialto, Dublin 8",3,1,
795000,"1&3 Charleville Manor, Firhouse Road, Knocklyon, Dublin 16",4,3,
395000,"35 Rothe Abbey, Kilmainham, Dublin 8",2,1,62
595000,"31 All Saints Road, Raheny, Dublin 5",3,2,107
595000,"22 Ludford Road, Ballinteer, Dublin 16",3,1,92
625000,"8 Eden Park Mews, Summehill Road, Dun Laoghaire, Glasthule, Co. Dublin",3,2,
895000,"14 Marino Park, Blackrock, Co. Dublin",3,2,110
185000,"Apartment 15 Rosedale, Tyrconnell Street, Dublin 8",1,1,
475000,"16 Templeroan Green, Rathfarnham, Knocklyon, Dublin 16",2,2,116
495000,"6A & 6B, 6-8 La Touche Road, Bluebell, Dublin 12",4,2,103
289000,"112 Cromcastle Road, Coolock, Coolock, Dublin 5",3,1,74
230000,"Apartment 49, Bracken Hill, Sandyford, Dublin 18",2,1,
190000,"Hampton Wood Road, Finglas, Dublin 11",1,2,
995000,"33 St Helen's Road, Booterstown, Co. Dublin",4,2,143
230000,"Lanesborough Mews, Finglas, Finglas, Dublin 11",3,2,
305000,"30 Bunratty Avenue, Coolock, Coolock, Dublin 5",4,1,80
625000,"6 Kingston Lawn, Ballinteer, Ballinteer, Dublin 16",3,3,123
395000,"10 Castleview, Artane, Dublin 5",3,2,116
250000,"194 Blackditch Road, Ballyfermot, Ballyfermot, Dublin 10",3,1,80
875000,"5 Mounttown Road Lower, Dun Laoghaire, Co. Dublin",4,2,198
325000,"Apartment 1, Apartment 1, Claremount, Shankill, Dublin 18",2,2,78
1050000,"18 Coppinger Wood Stillorgan Park Road Blackrock, Blackrock, Co. Dublin",4,3,175
1700000,"19 Georgian Village, Castleknock, Dublin 15",4,3,207
395000,"20 Riversdale Avenue, Palmerstown, Palmerstown, Dublin 20",4,3,110
250000,"14 Blessington Lane, Dublin 7",2,1,
215000,"42 Edenmore Drive, Edenmore, Dublin 5",3,1,
645000,"19 Oaklands Terrace, Terenure, Terenure, Dublin 6",3,2,117
310000,"Apartment 34, Saint James's Woods, Dublin 8",2,1,64
