Price,Address_x,Address_y,Bedrooms,Baths,Area
275000.0,53.4009603,-6.194032391656853,4.0,1.0,90.0
290000.0,53.3971578,-6.2454723,2.0,2.0,69.0
259000.0,53.32517125,-6.380009849999995,2.0,1.0,111.0
265000.0,42.6161361,21.4188683,2.0,1.0,54.0
1150000.0,53.3654115,-6.1951817,4.0,2.0,221.0
995000.0,55.9528635,-3.1145573,3.0,3.0,152.0
550000.0,53.2888378,-6.198343,3.0,2.0,98.0
595000.0,53.2978734,-6.304288,3.0,2.0,100.0
585000.0,6.7053776,-1.6203458,5.0,3.0,147.0
745000.0,53.3581437,-6.2879166,4.0,2.0,141.0
725000.0,53.3700615,-6.1956231,3.0,2.0,100.0
395000.0,51.551824,-0.2609411,4.0,1.0,89.0
265000.0,53.3275891,-6.4084417,3.0,2.0,102.0
465000.0,53.339619,-6.2394801,3.0,2.0,88.0
585000.0,53.2951418,-6.2967453,3.0,1.0,108.0
595000.0,51.2682777,-1.0891264,2.0,2.0,70.0
260000.0,53.4104332,-6.4404037,2.0,2.0,84.0
345000.0,53.3934759,-6.3711888,2.0,3.0,111.0
595000.0,53.3680988,-6.2554727,3.0,3.0,147.0
360000.0,53.341944,-6.226389,1.0,1.0,51.0
350000.0,53.2723002,-6.3369107,2.0,1.0,111.0
500000.0,53.42942565,-6.381511008420874,4.0,3.0,195.0
220000.0,53.3729581,-6.3624744,1.0,1.0,44.0
750000.0,53.3018639,-6.1788342,3.0,2.0,110.0
775000.0,53.2869263,-6.1835144,4.0,2.0,134.0
290000.0,53.341944,-6.226389,1.0,1.0,46.0
950000.0,53.2988099,-6.2855388,4.0,2.0,192.0
245000.0,53.380004,-6.3979347,2.0,2.0,62.0
495000.0,53.283554,-6.126394150000002,2.0,2.0,69.0
260000.0,53.3118481,-6.2744692,1.0,1.0,46.0
780000.0,53.3800808,-6.177625,4.0,3.0,182.0
549000.0,53.4085711,-6.1767129,5.0,4.0,174.0
395000.0,46.9455428,7.4367477,2.0,2.0,68.0
1250000.0,48.509465,-101.8851618,3.0,4.0,170.0
